""	"a"	"NA"	"NA"	"NA"	"año"	"Primarias"
"69"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"GABRIEL ANDRES ESPINOZA SILVA"	"6e+05"	"2009"	"No"
"70"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"HECTOR OBREQUE SANTIBANEZ"	"6e+05"	"2009"	"No"
"71"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"WASHINGTON HERNALDO PENA ARCOS"	"580000"	"2009"	"No"
"72"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"ISSA MURIEL CASTILLO VARGAS"	"9e+05"	"2009"	"No"
"73"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"NANCY EUGENIA MARIN MILLIE"	"9e+05"	"2009"	"No"
"74"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"WILDA CIDALIA DIAZ BURGOS"	"450000"	"2009"	"No"
"75"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"ANTONIO AXEL KURTE POBLETE"	"750000"	"2009"	"No"
"76"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	NA	"13294362"	"2009"	"No"
"77"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"IVES DENIS VERA ACOSTA"	"4e+05"	"2009"	"No"
"78"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"JOSE RICARDO SOLE CERDA"	"1050000"	"2009"	"No"
"79"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"JOSE VITALINO GUTIERREZ ARANEDA"	"6e+05"	"2009"	"No"
"80"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	NA	"37140000"	"2009"	"No"
"81"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"ERNESTO SEGUNDO ARANEDA BRIONES"	"6e+05"	"2009"	"No"
"82"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"CESAR OBED CHEUQUEL CHEUQUEL"	"6e+05"	"2009"	"No"
"83"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"MARGARITA ANDREA OSORIO RAMOS"	"130000"	"2009"	"No"
"84"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"SILVIA ESTHER PIZARRO CAMPILLAY"	"150000"	"2009"	"No"
"85"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"MARGARITA ANDREA OSORIO RAMOS"	"3e+05"	"2009"	"No"
"86"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"RAMON ENRIQUE PINILLA MOLINA"	"6e+05"	"2009"	"No"
"87"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"PATRICIA IVONNE CALLEJAS ALBORNOZ"	"6e+05"	"2009"	"No"
"88"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"VARIOS"	"1e+07"	"2009"	"No"
"89"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"DONANTES VARIOS"	"1966225083"	"2009"	"No"
"90"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"MIGUEL JUAN SEBASTIA PINERA ECHENIQUE"	"1096658060"	"2009"	"No"
"91"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"BANCO DE CHILE"	"2e+09"	"2009"	"No"
"92"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"BANCO DE CHILE"	"9851667"	"2009"	"No"
"93"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"MARIA TERESA ORELLANA PEZOA"	"30000"	"2009"	"No"
"94"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"SERVEL"	"92173465"	"2009"	"No"
"95"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"BANCO CORPBANCA"	"2.01e+08"	"2009"	"No"
"96"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"MARIA SOLEDAD OJEDA ROJAS"	"40000"	"2009"	"No"
"97"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"SERVEL"	"438155"	"2009"	"No"
"98"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"CARMEN GLORIA RETAMAL HUAIQUIL"	"50000"	"2009"	"No"
"99"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"CARMEN GLORIA RETAMAL HUAIQUIL"	"190000"	"2009"	"No"
"100"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"SERVEL"	"19702795"	"2009"	"No"
"101"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"NADIA DANIELA MALDONADO OPAZO"	"40000"	"2009"	"No"
"102"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"BANCO CORPBANCA"	"1981896"	"2009"	"No"
"103"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"SERVEL"	"112546435"	"2009"	"No"
"104"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"HECTOR ORLANDO ALVEAR SAAVEDRA"	"10000"	"2009"	"No"
"105"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"SERVEL"	"25743267"	"2009"	"No"
"106"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"BANCO CORPBANCA"	"589600"	"2009"	"No"
"107"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"ROMINA ANDREA MUNOZ CABRERA"	"60000"	"2009"	"No"
