,Unnamed: 0,Nombre,URL Imagen,URL Imagen Pacto,Distrito,Partido,Pacto,Resumen,Links,Facebook,Instagram,Twitter,Imagen Github,Imagen Partido Github
20,20,Manuel Aquiles Rojas Videla,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1611885001.png,Distrito 1,Partido De Trabajadores Revolucionarios,Partido De Trabajadores Revolucionarios,Aún Manuel Aquiles Rojas Videla no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Manuel Aquiles Rojas Videla.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Partido De Trabajadores Revolucionarios.png
21,21,Maria Calatayud Saavedra,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610862157.png,Distrito 1,Renovación Nacional,Vamos Por Chile,Aún Maria Calatayud Saavedra no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Maria Calatayud Saavedra.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Renovación Nacional.png
22,22,Milene Rossina Molina Arancibia,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,Súmate Ahora,Aún Milene Rossina Molina Arancibia no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Milene Rossina Molina Arancibia.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
23,23,Oscar Boris Palleres Flores,https://quienesson.cl/assets/images/candidatos/1611278691.jpg,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,Apruebo Dignidad,,Estamos actualizando la información,https://www.facebook.com/oscar.palleres.77,https://www.instagram.com/palleres_constituyente/,https://twitter.com/PalleresFlores,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Oscar Boris Palleres Flores.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
24,24,Pollyana Duendy Alejandra Rivera Bigas,https://quienesson.cl/assets/images/candidatos/1611278151.jpg,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,Vamos Por Chile,Aún Pollyana Duendy Alejandra Rivera Bigas no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,https://twitter.com/Pollyanapolita,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Pollyana Duendy Alejandra Rivera Bigas.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
25,25,Rafael Andres Vargas Maldonado,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,INDEPENDIENTES POR UNA NUEVA CONSTITUCION,Aún Rafael Andres Vargas Maldonado no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Rafael Andres Vargas Maldonado.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
26,26,Raul Castro Letelier,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610862344.png,Distrito 1,Democracia Cristiana,Lista del Apruebo,Aún Raul Castro Letelier no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Raul Castro Letelier.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Democracia Cristiana.png
27,27,Rebeca Alicia De Las Mercedes Butron Catalan,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,Súmate Ahora,Aún Rebeca Alicia De Las Mercedes Butron Catalan no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Rebeca Alicia De Las Mercedes Butron Catalan.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
28,28,Rodrigo Alejanoro Venegas Vergara,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,INDEPENDIENTES POR UNA NUEVA CONSTITUCION,Aún Rodrigo Alejanoro Venegas Vergara no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Rodrigo Alejanoro Venegas Vergara.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
29,29,Rodrigo Leonardo Munoz Ponce,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,Candidatura Independiente,Aún Rodrigo Leonardo Munoz Ponce no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Rodrigo Leonardo Munoz Ponce.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
30,30,Romina Alejandra Le Blanc Ampuero,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,Candidatura Independiente,Aún Romina Alejandra Le Blanc Ampuero no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Romina Alejandra Le Blanc Ampuero.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
31,31,Sara Fernanda Villarroel San Martin,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,INDEPENDIENTES POR UNA NUEVA CONSTITUCION,Aún Sara Fernanda Villarroel San Martin no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Sara Fernanda Villarroel San Martin.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
32,32,Sergio Jesus Gallardo Alfaro,Sin imagen,https://quienesson.cl/assets/images/pactos/pacto_1610857380.png,Distrito 1,Independiente,Súmate Ahora,Aún Sergio Jesus Gallardo Alfaro no nos entrega información sobre su candidatura.,Estamos actualizando la información,Sin facebook,Sin instagram,Sin twitter,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/FotosCandidatos/Sergio Jesus Gallardo Alfaro.png,https://github.com/Sud-Austral/DATA-ELECCIONES/raw/master/Contituyentes/LogoPartidos/Independiente.png
